case,faithful_median_s,fast_batch_median_s,faithful_to_fast_batch_median_ratio,faithful_stdev_s,fast_batch_stdev_s
new-meadows-id-seed0,0.14836683,0.054598322,2.717424722320221,0.0012507896634678228,0.0005709356138141016
new-meadows-id-seed17,0.096623522,0.054390664,1.7764725578639746,0.0008600035370263925,0.0007078335098182467
jeogla-au-seed0,0.111283594,0.072108044,1.5432895947087402,0.0022632969036211637,0.0004414333974180026
jeogla-au-seed17,3.807224832,0.071525221,53.22912364017722,0.04419981733130452,0.0008039174715892661
mt-wilson-ca-observed-seed0,0.096338785,0.063800811,1.5099931096487158,0.0016185619378880141,0.005146667724486812
mt-wilson-ca-observed-seed17,1.211125867,0.063567874,19.052483444703533,0.020243207324713065,0.001418338477910786
fish-springs-ut-observed-padded-seed0,0.03249609,0.022921943,1.4176847922534315,0.0010245970460361477,0.001182122206128412
fish-springs-ut-observed-padded-seed17,0.061672486,0.022797593,2.7052191869553948,0.0018289640272866159,0.001237964290835833
fish-springs-ut-observed-truncated-seed0,0.029255717,0.020617516,1.4189738957884162,0.0004924856139277662,0.0003171052282518633
fish-springs-ut-observed-truncated-seed17,0.053112694,0.02099311,2.530005987678815,0.0014646346361723184,0.0006240398228079226
new-meadows-id-single-storm-seed0,0.001936053,0.001809799,1.0697613381375501,6.500126555654423e-05,5.7767506214463635e-05
new-meadows-id-single-storm-seed17,0.001991594,0.001843353,1.0804192143338798,9.543163909212459e-05,6.334896355862803e-05
