label	direction	logical_bytes	trial	compression	status	elapsed_ns	elapsed_seconds	mib_per_second
L0	control	0	1	default	0	349920792	0.349920792	n/a
L0	control	0	2	default	0	350539542	0.350539542	n/a
L0	control	0	3	default	0	348887167	0.348887167	n/a
L0	control	0	4	default	0	349536791	0.349536791	n/a
L0	control	0	5	default	0	342668458	0.342668458	n/a
L0	control	0	6	default	0	343697500	0.343697500	n/a
L0	control	0	7	default	0	347304417	0.347304417	n/a
L0	control	0	8	default	0	342701458	0.342701458	n/a
L0	control	0	9	default	0	352709958	0.352709958	n/a
L0	control	0	10	default	0	348678458	0.348678458	n/a
S16	upload	16777216	1	default	0	3034714458	3.034714458	5.272325
S16	download	16777216	1	default	0	3839203375	3.839203375	4.167531
S16	upload	16777216	2	default	0	2128308250	2.128308250	7.517708
S16	download	16777216	2	default	0	3660105292	3.660105292	4.371459
S16	upload	16777216	3	default	0	2162680166	2.162680166	7.398228
S16	download	16777216	3	default	0	4552315833	4.552315833	3.514695
S256	upload	268435456	1	default	0	23002627791	23.002627791	11.129163
S256	download	268435456	1	default	0	54749306458	54.749306458	4.675858
S256	upload	268435456	2	default	0	22576509667	22.576509667	11.339220
S256	download	268435456	2	default	0	50133472833	50.133472833	5.106369
S256	upload	268435456	3	default	0	23360333042	23.360333042	10.958748
S256	download	268435456	3	default	0	52462189709	52.462189709	4.879705
S1024	upload	1073741824	1	default	0	101851860375	101.851860375	10.053817
S1024	download	1073741824	1	default	0	216619706708	216.619706708	4.727178
F1024	upload	67108864	1	default	0	218468605958	218.468605958	0.292948
F1024	download	67108864	1	default	0	175663238375	175.663238375	0.364333
TAR	upload	69733888	1	default	0	5439976791	5.439976791	12.224945
TAR	download	69733888	1	default	0	12422678167	12.422678167	5.353388
CR64	upload	67108864	1	default	0	6098380625	6.098380625	10.494589
CR64	download	67108864	1	default	0	13471062584	13.471062584	4.750924
CR64	upload	67108864	1	enabled	0	6147469083	6.147469083	10.410788
CR64	download	67108864	1	enabled	0	13549090458	13.549090458	4.723564
CZ64	upload	67108864	1	default	0	5644599584	5.644599584	11.338271
CZ64	download	67108864	1	default	0	17489214250	17.489214250	3.659398
CZ64	upload	67108864	1	enabled	0	5834409042	5.834409042	10.969406
CZ64	download	67108864	1	enabled	0	13614169792	13.614169792	4.700984
I256	upload	268435456	1	default	124	10007922291	10.007922291	25.579735
R256	resume	268435456	1	default	0	22876509125	22.876509125	11.190519
